Time Index,CPU Activity (Cortex-A15):User,CPU Activity (Cortex-A15):System,CPU Activity (Cortex-A7):User,CPU Activity (Cortex-A7):System,CPU Times:Idle,CPU Times:IO wait,Disk I/O:Read,Disk I/O:Write,Mali Core Cycles:Tripipe cycles,Mali Job Manager Cycles:GPU cycles,Mali Job Manager Cycles:IRQ cycles,Mali L2 Cache Ext Reads:External read bytes,Mali L2 Cache Ext Writes:External bus stalls (W),Mali L2 Cache Ext Writes:External write bytes,Mali L2 Cache Writes:L2 write lookups,Memory:Buffer,Memory:Cached,Memory:Free,Memory:Slab,Memory:Used,App
3.2,25.00%,10.00%,0.00%,0.00%,0.63,0,0,0,404,"245,889","3,630","1,600","15,564","167,888","3,632","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
3.3,21.00%,10.00%,0.00%,0.00%,0.67,0,0,0,404,"245,892","3,635","1,616","15,386","167,904","3,635","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
3.4,27.50%,10.00%,0.00%,2.50%,0.64,0,0,0,403,"245,897","3,630","1,568","15,469","167,888","3,631","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
3.5,24.51%,7.99%,0.00%,2.50%,0.67,0,0,0,404,"245,890","3,634","1,584","15,956","167,904","3,631","251,805,696","1,285,701,632","93,474,816","82,276,352","1,999,536,128",optical
3.6,25.00%,5.74%,0.00%,0.00%,0.63,0,0,0,403,"245,881","3,631","1,616","15,928","167,888","3,641","251,805,696","1,285,701,632","93,474,816","82,272,256","1,999,536,128",optical
3.7,23.77%,6.26%,0.00%,0.00%,0.61,0,0,0,404,"245,883","3,633","1,600","16,608","167,888","3,640","251,805,696","1,285,701,632","93,474,816","82,239,488","1,999,536,128",optical
3.8,26.99%,10.00%,0.00%,2.50%,0.69,0,0,0,404,"245,907","3,632","1,600","15,787","167,904","3,628","251,805,696","1,285,701,632","93,347,840","82,239,488","1,999,663,104",optical
3.9,26.76%,10.00%,0.00%,0.00%,0.64,0,0,0,403,"245,894","3,633","1,584","16,004","167,904","3,626","251,805,696","1,285,701,632","93,347,840","82,239,488","1,999,663,104",optical
4,25.00%,7.50%,0.00%,0.00%,0.66,0,0,0,404,"245,908","3,633","1,616","15,673","167,904","3,640","251,805,696","1,285,701,632","93,347,840","82,247,680","1,999,663,104",optical
4.1,23.50%,10.00%,0.00%,2.50%,0.61,0,0,0,403,"245,886","3,631","1,600","16,041","167,888","3,638","251,805,696","1,285,701,632","93,347,840","82,239,488","1,999,663,104",optical
4.2,27.50%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,899","3,634","1,584","15,256","167,904","3,635","251,805,696","1,285,701,632","93,347,840","82,239,488","1,999,663,104",optical
4.3,25.00%,10.00%,0.00%,2.50%,0.66,0,0,0,404,"245,890","3,630","1,616","16,093","167,904","3,626","251,805,696","1,285,701,632","93,347,840","82,255,872","1,999,663,104",optical
4.4,22.01%,7.50%,0.00%,0.00%,0.64,0,0,0,403,"245,901","3,635","1,600","15,911","167,904","3,630","251,805,696","1,285,701,632","93,347,840","82,272,256","1,999,663,104",optical
4.5,25.00%,0.00%,0.00%,0.00%,0.52,0,0,0,404,"245,888","3,630","1,616","15,853","167,888","3,627","251,805,696","1,285,701,632","93,347,840","82,239,488","1,999,663,104",optical
4.6,25.00%,0.00%,0.00%,0.00%,0,0,0,0,189,"115,537","1,706",768,"7,226","78,896","1,702","251,805,696","1,285,701,632","93,347,840","82,239,488","1,999,663,104",optical
